scope,family,model,n_pairs,mean_rel_naive_delta,median_rel_naive_delta,win_rate_rel_naive,mean_mase_delta,median_mase_delta,win_rate_mase,mean_mae_delta,median_mae_delta,win_rate_mae,mean_pocid_delta,median_pocid_delta,win_rate_pocid
combined_monthly|seasonality_evolution|Low,mlforecast,auto_rf,334,0.018928102890956085,-0.005682424652151463,0.49700598802395207,0.22295015428997358,-0.008991617114174955,0.49700598802395207,13.161863366321413,-1.9551202813616317,0.49700598802395207,0.0748502994011976,0.05555555555555558,0.592814371257485
combined_monthly|seasonality_evolution|Low,mlforecast,auto_ridge,334,-0.02507918063819183,-0.029393199302582718,0.47005988023952094,0.12551406160911152,-0.0274749014460825,0.47005988023952094,-48.37399978707383,-8.732045486372954,0.47005988023952094,0.04956753160345974,0.055555555555555525,0.5389221556886228
combined_monthly|seasonality_evolution|Low,mlforecast,auto_xgb,334,-0.002738706542540195,-0.02187954717204782,0.48502994011976047,0.1466892096477296,-0.02516571969725956,0.48502994011976047,-31.130759569903898,-4.605682154481347,0.48502994011976047,0.0706919494344644,0.05555555555555558,0.5838323353293413
combined_monthly|seasonality_evolution|Low,neuralforecast,auto_lstm,334,0.024809125380559054,0.011608610968810495,0.5329341317365269,0.17222545400790876,0.016820064305310578,0.5329341317365269,16.625889500894083,6.898838314885564,0.5329341317365269,0.056387225548902194,0.05555555555555558,0.562874251497006
combined_monthly|seasonality_evolution|Low,neuralforecast,auto_nhits,334,-0.07896804088340456,-0.0382546626879432,0.4101796407185629,0.0006176268365344849,-0.04614268067419319,0.4101796407185629,-81.96549531976711,-19.80850102285931,0.4101796407185629,-0.0011643379906852973,0.0,0.40119760479041916
combined_monthly|seasonality_evolution|Low,neuralforecast,auto_nlinear,334,0.08886457673092095,0.08167910739036588,0.5958083832335329,0.5251891430325373,0.06869211865067332,0.5958083832335329,206.02543172102816,26.058466761091225,0.5958083832335329,0.09763805721889555,0.1111111111111111,0.6137724550898204
combined_monthly|seasonality_evolution|Low,statistical,auto_arima,334,0.002315849953806032,-0.005686808461854764,0.49101796407185627,0.1664831085374814,-0.006791262922275942,0.49101796407185627,2.429400482625127,-2.0065716401051716,0.49101796407185627,0.25149700598802394,0.2222222222222222,0.7724550898203593
combined_monthly|seasonality_evolution|Low,statistical,auto_ets,334,-0.08503763813311523,-0.05998089382399975,0.3532934131736527,-0.06391784824697687,-0.06416289419789784,0.3532934131736527,-74.03903318445425,-21.89744413016402,0.3532934131736527,0.16383898868928812,0.05555555555555558,0.5568862275449101
combined_monthly|seasonality_evolution|Low,statistical,auto_sarima,334,-0.19716850935419328,-0.11046204611674233,0.2964071856287425,-0.1633739555318924,-0.13782914333677365,0.2964071856287425,-149.15179385324032,-57.03136611132811,0.2964071856287425,0.09364604125083167,0.0,0.4940119760479042
combined_monthly|seasonality_evolution|Low,transformer,auto_patchtst,334,0.04217868758776223,0.010443922564871477,0.5149700598802395,0.30588214277969034,0.012570996693504699,0.5149700598802395,64.20362298928184,7.180892393670673,0.5149700598802395,0.11343978709248169,0.11111111111111116,0.6646706586826348
combined_monthly|seasonality_evolution|Low,transformer,auto_tft,334,-0.042171121320706856,-0.011961842306614845,0.48502994011976047,0.07508503230931736,-0.0093232083926591,0.48502994011976047,-29.442149033532463,-3.1523269879724403,0.48502994011976047,0.04125083166999334,0.05555555555555558,0.5359281437125748
combined_monthly|seasonality_evolution|Medium,mlforecast,auto_lr,332,0.029422537173536167,0.010805706201928056,0.5120481927710844,0.003199580401256641,0.008689808402852828,0.5120481927710844,-17.65269605815103,1.0301101750083,0.5120481927710844,0.052208835341365466,0.055555555555555525,0.5421686746987951
combined_monthly|seasonality_evolution|Medium,mlforecast,auto_rf,332,0.041477807383868484,0.010871082640593499,0.5150602409638554,0.059631091840836835,0.011930797254546682,0.5150602409638554,-6.449361136432183,2.874579351224998,0.5150602409638554,0.08483935742971888,0.05555555555555558,0.6174698795180723
combined_monthly|seasonality_evolution|Medium,mlforecast,auto_ridge,332,0.03249232280834897,0.009699655432301724,0.5090361445783133,0.005637579984033123,0.007721532191759417,0.5090361445783133,-16.564937313518076,0.8012087466169895,0.5090361445783133,0.05404953145917002,0.05555555555555558,0.5481927710843374
