week4_group,dataset,frequency,family,variant,model,n_series,rel_naive,median_rel_naive,mase,median_mase,mae,median_mae,pocid,median_pocid
combined_monthly,M4,Monthly,neuralforecast,with_mstl,auto_nlinear,500,1.013281332042226,0.9369234372881738,0.9141479005721881,0.8360556495613444,640.3531445678534,266.03100165024887,0.5746285207363052,0.5555555555555556
combined_monthly,M4,Monthly,neuralforecast,with_mstl,auto_nhits,500,1.0309975466666232,0.8993189107919881,0.9206359762326567,0.8418252649894943,629.4185968109775,256.4727445528895,0.586715457972943,0.6111111111111112
combined_monthly,M4,Monthly,mlforecast,with_mstl,auto_rf,500,1.0330603974856565,0.9737575718023681,0.9302058124403734,0.8533319439842664,603.4531379690268,259.7799064616822,0.5736305167442892,0.5555555555555556
combined_monthly,M3,Monthly,neuralforecast,without_mstl,auto_nlinear,500,1.0447048663415575,1.0003753707010177,1.2981070571787512,0.958602970456614,871.3347365124894,571.1447482638889,0.5233976491461522,0.5555555555555556
combined_monthly,M4,Monthly,statistical,with_mstl,auto_arima,500,1.0451368975302717,0.8955720302606148,0.9203250813489208,0.858601977369364,588.8215504461044,244.84889731112537,0.5981370592149035,0.6111111111111112
combined_monthly,M3,Monthly,mlforecast,with_mstl,auto_rf,500,1.0464827661542884,0.9601972346516129,0.9958712120084916,0.9365656505089258,723.8222868558138,530.4746721341044,0.5670880461299622,0.5555555555555556
combined_monthly,M3,Monthly,statistical,with_mstl,auto_sarima,500,1.0519273282159192,0.8356822217862374,0.9951059887436272,0.8955024041133162,730.8608347883976,481.3976857489067,0.593812375249501,0.6111111111111112
combined_monthly,M3,Monthly,mlforecast,without_mstl,auto_lr,500,1.0534736460521923,0.90818477264201,1.026168479177972,0.8886976245771683,702.6905937519333,520.1819227207117,0.5457972943002883,0.5555555555555556
combined_monthly,M3,Monthly,mlforecast,without_mstl,auto_ridge,500,1.0544471299260756,0.9084495126918327,1.0274785256595027,0.8873758972675895,702.1263939536636,519.520348306487,0.5497893102683522,0.5555555555555556
combined_monthly,M4,Monthly,mlforecast,without_mstl,auto_ridge,500,1.0589243412234546,0.9608419244068145,1.0198019260085194,0.841144357650191,618.9148380729622,268.11968225546036,0.5211798624972277,0.5
combined_monthly,M4,Monthly,mlforecast,without_mstl,auto_lr,500,1.058958820753636,0.9607828883896871,1.019961747677334,0.841110193177877,618.9451363253377,268.145338418685,0.5217343091594588,0.5
combined_monthly,M4,Monthly,mlforecast,without_mstl,auto_xgb,500,1.0603591203276856,0.9778088649528768,1.023214666908496,0.8643550434068409,639.8859541271272,276.53493245442706,0.4231536926147705,0.4444444444444444
