model_family,model_name,trained_on_bucket,decomposition_method,mean,median,win_rate,n,family,decomp
transformers,AutoPatchTST,Low,stl_seasonal_naive,-0.010861773653881326,-0.012855327321923182,0.4634686020268177,22597,Transformer,STL-SN
mlforecast,AutoLinearRegression,Low,stl_seasonal_naive,-0.32718660575138014,-0.013191892681242101,0.47360269062264904,22597,ML,STL-SN
mlforecast,AutoRidge,Low,stl_seasonal_naive,-0.32868429311640907,-0.016478338691113814,0.46784971456388014,22597,ML,STL-SN
transformers,AutoPatchTST,High,stl_model_all_components,-0.0333053020789349,-0.016830522340692045,0.4715341156019122,16107,Transformer,STL-AC
transformers,AutoPatchTST,Medium,stl_seasonal_naive,-0.020441418241080946,-0.02224354691453001,0.4370913942628419,14990,Transformer,STL-SN
mlforecast,AutoLinearRegression,High,stl_seasonal_naive,-0.38654874989203664,-0.022611666322009838,0.45756503383622027,16107,ML,STL-SN
mlforecast,AutoRidge,High,stl_seasonal_naive,-0.3844356253137351,-0.024652540871375028,0.45532998075370956,16107,ML,STL-SN
mlforecast,AutoLinearRegression,Medium,stl_seasonal_naive,-0.34638776012295247,-0.02592668346200655,0.4537024683122081,14990,ML,STL-SN
transformers,AutoPatchTST,Low,stl_model_all_components,-0.013808175784646975,-0.026442715903582492,0.4559897331504182,22597,Transformer,STL-AC
neuralforecast,AutoNLinear,High,stl_seasonal_naive,-0.04136912356401799,-0.028858172480066502,0.4311169056931769,16107,Neural,STL-SN
mlforecast,AutoRidge,Medium,stl_seasonal_naive,-0.34620711796967335,-0.02916668838065406,0.4501000667111408,14990,ML,STL-SN
mlforecast,AutoLinearRegression,Low,stl_model_all_components,-0.20616702303870013,-0.03484827952962377,0.46749568526795593,22597,ML,STL-AC
mlforecast,AutoRidge,Low,stl_model_all_components,-0.2080430183822848,-0.03613460372180999,0.46559277780236313,22597,ML,STL-AC
transformers,AutoPatchTST,Medium,stl_model_all_components,-0.035390377968963,-0.03841145223293613,0.43375583722481653,14990,Transformer,STL-AC
neuralforecast,AutoNLinear,Low,stl_seasonal_naive,-0.04359790462830845,-0.04156596769326926,0.40527503650927116,22597,Neural,STL-SN
neuralforecast,AutoNLinear,Medium,stl_seasonal_naive,-0.05173962158135328,-0.04487122960567891,0.3979319546364243,14990,Neural,STL-SN
mlforecast,AutoRidge,Medium,stl_model_all_components,-0.23228035343066658,-0.047058311918109746,0.45490326884589727,14990,ML,STL-AC
mlforecast,AutoRidge,High,stl_model_all_components,-0.2624065542734349,-0.04710733073752382,0.4509840442043832,16107,ML,STL-AC
mlforecast,AutoLinearRegression,Medium,stl_model_all_components,-0.23155526319950784,-0.04732918748972814,0.4546364242828552,14990,ML,STL-AC
mlforecast,AutoLinearRegression,High,stl_model_all_components,-0.26331257850889556,-0.0493483262548744,0.4497423480474328,16107,ML,STL-AC
neuralforecast,AutoNLinear,High,stl_model_all_components,-0.11714779404921981,-0.06061007180281908,0.38312534922704417,16107,Neural,STL-AC
neuralforecast,AutoNLinear,Medium,stl_model_all_components,-0.12851878578035733,-0.08128002277835161,0.342761841227485,14990,Neural,STL-AC
neuralforecast,AutoNLinear,Low,stl_model_all_components,-0.1473415503958176,-0.0880818792419441,0.345444085498075,22597,Neural,STL-AC
